curriculum,group,mean_return,std_return,mean_success_strict,std_success_strict,mean_success_soft,std_success_soft,mean_length,std_length,n_seeds
baseline,training_like,181.84218588556973,54.85194387285956,0.5305,0.12015499249811563,0.743,0.1340750204591113,481.85875,140.00440177231928,10
joint,training_like,229.61532472849234,14.492844145635042,0.6305,0.15629743724350978,0.84975,0.09064927835712024,358.93725,41.942524785082036,10
param,training_like,236.79490819282432,8.258206481582917,0.6615,0.027868739954771272,0.8855000000000001,0.03983995760818804,345.1825,37.0614706902225,10
baseline,unseen_combo,176.29752773520553,35.18788060545418,0.48933333333333334,0.07734482673212359,0.7346666666666667,0.0970325133240158,439.099,90.5798629142016,10
joint,unseen_combo,217.2186085017044,12.491037054321392,0.5726666666666667,0.13136322276914608,0.8323333333333334,0.08378470351567689,330.649,35.32180710147174,10
param,unseen_combo,218.12594164109834,15.552096155405634,0.6183333333333334,0.04149222744408405,0.8616666666666667,0.029948515493207914,326.4343333333333,36.19180891061157,10
baseline,unseen_range,153.9739962595308,34.708533838095235,0.44800000000000006,0.08713831774686202,0.6946666666666668,0.09337565178181628,422.47666666666663,86.88281746335329,10
joint,unseen_range,188.5329419985965,11.223026397341567,0.5,0.10979217179587222,0.784,0.07227861046578166,327.437,33.175569750519806,10
param,unseen_range,193.6677461979548,19.639829672354377,0.5393333333333333,0.0428260910435925,0.817,0.037890355136177806,317.0483333333333,38.61388051618897,10
baseline,generalization_combined,165.13576199736815,34.74985184185119,0.4686666666666667,0.08133454765335153,0.7146666666666667,0.09314398783139899,430.7878333333333,88.17360822652765,10
joint,generalization_combined,202.87577525015047,11.493163971731576,0.5363333333333333,0.11936508991894582,0.8081666666666667,0.07725798532382458,329.043,33.598529874878224,10
param,generalization_combined,205.89684391952656,17.356830685008447,0.5788333333333333,0.03308285520691911,0.8393333333333333,0.03265230220836152,321.74133333333333,36.99958352952132,10
