curriculum,group,mean_return,std_return,mean_success,std_success,mean_length,std_length,n_seeds
baseline,training_like,239.9920374003238,10.511747742691918,0.96875,0.0169250800096583,229.83125,28.414991550089656,10
joint,training_like,240.7380277468598,6.907274895838775,0.96125,0.029136889561745115,300.9175,40.287299487555636,10
param,training_like,239.40182948276885,16.509172138925884,0.9674999999999999,0.021408720964441897,270.21999999999997,30.619459929738937,10
baseline,unseen_combo,196.03238533508141,28.718942405434507,0.96,0.029606472432164986,222.37833333333333,38.86602268223239,10
joint,unseen_combo,208.53551598584423,16.88760877505414,0.9483333333333335,0.031865845332666676,283.26166666666666,45.60440000024904,10
param,unseen_combo,204.34110476974593,35.43911334568574,0.9650000000000001,0.02986595567936804,260.64833333333337,44.143165969964734,10
baseline,unseen_range,154.86907771523053,41.21102861269316,0.975,0.021154925294066443,199.92333333333335,27.460218363891276,10
joint,unseen_range,169.73850731084056,28.235713307961568,0.9650000000000001,0.025398065445916593,260.49833333333333,40.19441829838665,10
param,unseen_range,162.31369241979755,43.190533189788276,0.9633333333333333,0.03022549001941213,235.50333333333333,33.28017780252836,10
baseline,generalization_combined,175.45073152515596,34.30042096149475,0.9675,0.02020344060663136,211.1508333333333,31.142218686571145,10
joint,generalization_combined,189.13701164834237,21.473915491006988,0.9566666666666667,0.02108185106778922,271.88,41.70320438734702,10
param,generalization_combined,183.32739859477175,39.083778929733874,0.9641666666666667,0.025169180644609594,248.07583333333332,38.233676911256154,10
